,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
0,2020-02-08,Carleton College,1,2521,"Score(team_a=13, team_b=2)",Pennsylvania,47.0,1481.0,1040.0,12.692307692307692
2,2020-02-08,Carleton College,1,2521,"Score(team_a=13, team_b=3)",Michigan,28.0,1741.0,780.0,11.538461538461537
4,2020-02-08,Carleton College,1,2521,"Score(team_a=13, team_b=0)",North Carolina-Wilmington,56.0,1396.0,1125.0,14.999999999999998
6,2020-02-08,Carleton College,1,2521,"Score(team_a=13, team_b=6)",Virginia,11.0,2043.0,478.0,8.076923076923077
8,2020-02-09,Carleton College,1,2521,"Score(team_a=11, team_b=10)",Tufts,3.0,2275.0,246.0,1.3636363636363635
10,2020-02-09,Carleton College,1,2521,"Score(team_a=12, team_b=9)",North Carolina,2.0,2495.0,26.0,3.75
12,2020-03-07,Carleton College,1,2521,"Score(team_a=9, team_b=6)",Pittsburgh,13.0,2003.0,518.0,5.0
14,2020-03-07,Carleton College,1,2521,"Score(team_a=10, team_b=8)",UCLA,14.0,1994.0,527.0,3.0
16,2020-03-07,Carleton College,1,2521,"Score(team_a=13, team_b=2)",California-Santa Cruz,58.0,1387.0,1134.0,12.692307692307692
18,2020-03-08,Carleton College,1,2521,"Score(team_a=12, team_b=8)",Colorado,20.0,1941.0,580.0,5.0
20,2020-03-08,Carleton College,1,2521,"Score(team_a=13, team_b=7)",Stanford,9.0,2113.0,408.0,6.9230769230769225
22,2020-03-08,Carleton College,1,2521,"Score(team_a=13, team_b=10)",Tufts,3.0,2275.0,246.0,3.4615384615384612
24,2020-02-08,North Carolina,2,2495,"Score(team_a=8, team_b=5)",William & Mary,32.0,1649.0,846.0,5.625
25,2020-02-08,North Carolina,2,2495,"Score(team_a=13, team_b=3)",Appalachian State,106.0,1052.0,1443.0,11.538461538461537
26,2020-02-08,North Carolina,2,2495,"Score(team_a=13, team_b=3)",Georgia Tech,6.0,2140.0,355.0,11.538461538461537
27,2020-02-08,North Carolina,2,2495,"Score(team_a=11, team_b=5)",Pittsburgh,13.0,2003.0,492.0,8.181818181818182
28,2020-02-09,North Carolina,2,2495,"Score(team_a=13, team_b=9)",Ohio State,8.0,2115.0,380.0,4.615384615384615
