,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
0,2019-04-13,North Carolina,1,2324,"Score(team_a=10, team_b=11)",North Carolina-Wilmington,13.0,1888.0,436.0,-1.3636363636363635
1,2019-04-13,North Carolina,1,2324,"Score(team_a=13, team_b=0)",Appalachian State,152.0,812.0,1512.0,14.999999999999998
2,2019-04-13,North Carolina,1,2324,"Score(team_a=11, team_b=3)",Duke,50.0,1413.0,911.0,10.909090909090908
3,2019-04-13,North Carolina,1,2324,"Score(team_a=13, team_b=0)",East Carolina,276.0,-53.0,2377.0,14.999999999999998
4,2019-04-27,North Carolina,1,2324,"Score(team_a=13, team_b=2)",James Madison,69.0,1282.0,1042.0,12.692307692307692
5,2019-04-27,North Carolina,1,2324,"Score(team_a=13, team_b=3)",American,129.0,911.0,1413.0,11.538461538461537
6,2019-04-27,North Carolina,1,2324,"Score(team_a=12, team_b=3)",Duke,50.0,1413.0,911.0,11.25
7,2019-04-28,North Carolina,1,2324,"Score(team_a=13, team_b=9)",Virginia,40.0,1542.0,782.0,4.615384615384615
8,2019-04-28,North Carolina,1,2324,"Score(team_a=12, team_b=9)",South Carolina,12.0,1932.0,392.0,3.75
9,2019-04-28,North Carolina,1,2324,"Score(team_a=15, team_b=3)",Clemson,11.0,1938.0,386.0,12.0
10,2019-04-13,California-San Diego,2,2261,"Score(team_a=12, team_b=8)",UCLA,16.0,1863.0,398.0,5.0
11,2019-04-13,California-San Diego,2,2261,"Score(team_a=13, team_b=3)",Southern California,84.0,1175.0,1086.0,11.538461538461537
12,2019-04-13,California-San Diego,2,2261,"Score(team_a=13, team_b=2)",San Diego State,60.0,1363.0,898.0,12.692307692307692
13,2019-04-13,California-San Diego,2,2261,"Score(team_a=13, team_b=0)",California-Irvine,240.0,282.0,1979.0,14.999999999999998
14,2019-04-14,California-San Diego,2,2261,"Score(team_a=13, team_b=8)",Cal Poly-SLO,23.0,1783.0,478.0,5.769230769230768
15,2019-04-14,California-San Diego,2,2261,"Score(team_a=11, team_b=6)",UCLA,16.0,1863.0,398.0,6.8181818181818175
16,2019-04-27,California-San Diego,2,2261,"Score(team_a=13, team_b=4)",Stanford,22.0,1817.0,444.0,10.384615384615383
17,2019-04-27,California-San Diego,2,2261,"Score(team_a=13, team_b=5)",Cal Poly-SLO,23.0,1783.0,478.0,9.23076923076923
