,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
0,2019-05-24,North Carolina,1,2324,"Score(team_a=11, team_b=2)",Pittsburgh,9,1957,367,12.272727272727272
1,2019-05-24,North Carolina,1,2324,"Score(team_a=15, team_b=3)",Oregon,21,1822,502,12.0
2,2019-05-25,North Carolina,1,2324,"Score(team_a=15, team_b=5)",UCLA,16,1863,461,10.0
3,2019-05-25,North Carolina,1,2324,"Score(team_a=13, team_b=5)",Colorado,17,1862,462,9.23076923076923
4,2019-05-26,North Carolina,1,2324,"Score(team_a=14, team_b=11)",California-Santa Barbara,7,2015,309,3.2142857142857144
5,2019-05-26,North Carolina,1,2324,"Score(team_a=10, team_b=12)",Dartmouth,5,2080,244,-2.5
6,2019-05-24,California-San Diego,2,2261,"Score(team_a=14, team_b=9)",Western Washington,6,2062,199,5.357142857142857
7,2019-05-24,California-San Diego,2,2261,"Score(team_a=15, team_b=4)",Northwestern,34,1616,645,11.0
8,2019-05-25,California-San Diego,2,2261,"Score(team_a=14, team_b=10)",Georgia,14,1872,389,4.285714285714286
9,2019-05-25,California-San Diego,2,2261,"Score(team_a=10, team_b=13)",Tufts,19,1854,407,-3.4615384615384612
10,2019-05-26,California-San Diego,2,2261,"Score(team_a=13, team_b=12)",Carleton College-Syzygy,4,2150,111,1.1538461538461537
11,2019-05-26,California-San Diego,2,2261,"Score(team_a=15, team_b=5)",Ohio State,3,2236,25,10.0
12,2019-05-27,California-San Diego,2,2261,"Score(team_a=12, team_b=11)",Dartmouth,5,2080,181,1.25
13,2019-05-24,Ohio State,3,2236,"Score(team_a=13, team_b=8)",Washington,24,1769,467,5.769230769230768
14,2019-05-24,Ohio State,3,2236,"Score(team_a=13, team_b=12)",California-Santa Barbara,7,2015,221,1.1538461538461537
15,2019-05-25,Ohio State,3,2236,"Score(team_a=11, team_b=10)",Northeastern,15,1866,370,1.3636363636363635
16,2019-05-25,Ohio State,3,2236,"Score(team_a=15, team_b=7)",Minnesota,18,1860,376,8.0
17,2019-05-26,Ohio State,3,2236,"Score(team_a=14, team_b=11)",Wisconsin,20,1851,385,3.2142857142857144
19,2019-05-24,Carleton College-Syzygy,4,2150,"Score(team_a=15, team_b=4)",Cornell,53,1393,757,11.0
20,2019-05-24,Carleton College-Syzygy,4,2150,"Score(team_a=5, team_b=15)",Dartmouth,5,2080,70,-10.0
21,2019-05-25,Carleton College-Syzygy,4,2150,"Score(team_a=15, team_b=8)",Texas,10,1942,208,7.0
22,2019-05-25,Carleton College-Syzygy,4,2150,"Score(team_a=14, team_b=6)",Wisconsin,20,1851,299,8.571428571428571
23,2019-05-25,Carleton College-Syzygy,4,2150,"Score(team_a=12, team_b=10)",Oregon,21,1822,328,2.5
25,2019-05-24,Dartmouth,5,2080,"Score(team_a=15, team_b=7)",Wisconsin,20,1851,229,8.0
27,2019-05-25,Dartmouth,5,2080,"Score(team_a=15, team_b=4)",Cornell,53,1393,687,11.0
28,2019-05-25,Dartmouth,5,2080,"Score(team_a=14, team_b=5)",Texas,10,1942,138,9.642857142857142
29,2019-05-26,Dartmouth,5,2080,"Score(team_a=11, team_b=10)",Western Washington,6,2062,18,1.3636363636363635
32,2019-05-24,Western Washington,6,2062,"Score(team_a=13, team_b=8)",Tufts,19,1854,208,5.769230769230768
34,2019-05-25,Western Washington,6,2062,"Score(team_a=15, team_b=6)",Northwestern,34,1616,446,9.0
35,2019-05-25,Western Washington,6,2062,"Score(team_a=15, team_b=5)",Georgia,14,1872,190,10.0
36,2019-05-25,Western Washington,6,2062,"Score(team_a=12, team_b=8)",Minnesota,18,1860,202,5.0
38,2019-05-24,California-Santa Barbara,7,2015,"Score(team_a=15, team_b=8)",Minnesota,18,1860,155,7.0
40,2019-05-25,California-Santa Barbara,7,2015,"Score(team_a=14, team_b=11)",Washington,24,1769,246,3.2142857142857144
41,2019-05-25,California-Santa Barbara,7,2015,"Score(team_a=14, team_b=11)",Northeastern,15,1866,149,3.2142857142857144
42,2019-05-25,California-Santa Barbara,7,2015,"Score(team_a=12, team_b=10)",Georgia,14,1872,143,2.5
45,2019-05-24,Pittsburgh,9,1957,"Score(team_a=7, team_b=10)",Colorado,17,1862,95,-4.5
46,2019-05-25,Pittsburgh,9,1957,"Score(team_a=9, team_b=12)",Oregon,21,1822,135,-3.75
47,2019-05-25,Pittsburgh,9,1957,"Score(team_a=9, team_b=12)",UCLA,16,1863,94,-3.75
48,2019-05-25,Pittsburgh,9,1957,"Score(team_a=5, team_b=8)",Texas,10,1942,15,-5.625
49,2019-05-24,Texas,10,1942,"Score(team_a=15, team_b=10)",Cornell,53,1393,549,5.0
50,2019-05-24,Texas,10,1942,"Score(team_a=11, team_b=12)",Wisconsin,20,1851,91,-1.25
54,2019-05-24,Georgia,14,1872,"Score(team_a=12, team_b=11)",Northwestern,34,1616,256,1.25
55,2019-05-24,Georgia,14,1872,"Score(team_a=14, team_b=12)",Tufts,19,1854,18,2.142857142857143
59,2019-05-24,Northeastern,15,1866,"Score(team_a=5, team_b=13)",Minnesota,18,1860,6,-9.23076923076923
60,2019-05-24,Northeastern,15,1866,"Score(team_a=11, team_b=4)",Washington,24,1769,97,9.545454545454545
